2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
씨제이,씨제이,씨제이,씨제이,씨제이,씨제이,씨제이,롯데,월트디즈니,씨제이
롯데,쇼박스,NEW,롯데,쇼박스,쇼박스,쇼박스,씨제이,씨제이,롯데
NEW,롯데,롯데,소니,월트디즈니,월트디즈니,롯데,NEW,롯데,NEW
소니,NEW,쇼박스,워너브라더스,이십세기폭스,워너브라더스,NEW,쇼박스,NEW,쇼박스
쇼박스,소니,소니,이십세기폭스,유니버설픽쳐스,이십세기폭스,메가박스,메가박스,워너브라더스,워너브라더스
이십세기폭스,워너브라더스,워너브라더스,쇼박스,NEW,NEW,아트하우스,워너브라더스,쇼박스,UPI
워너브라더스,유니버설픽쳐스,유니버설픽쳐스,NEW,롯데,롯데,오퍼스,키다리,소니,월트디즈니
유니버설,이십세기폭스,이십세기폭스,유니버설픽쳐스,워너브라더스,유니버설픽쳐스,리틀빅,리틀빅,유니버설픽쳐스,에이스케이커
시너지,필라멘트픽쳐스,아이러브시네마,아트하우스,아트하우스,메가박스,워너브라더스,아트하우스,에이스케이커,메가박스
화앤담,에스비에스,씨너스,판씨네마,메가박스,와우픽쳐스,키다리,옛나인,이십세기폭스,소니
