,순번,개봉연도,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
0,1,2014,명량,김한민,(주)씨제이이엔엠,2014-07-30,한국,1587,135748398910,17613682,사극,15세이상관람가,일반영화
1,2,2014,겨울왕국,"크리스 벅,제니퍼 리",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,미국,1010,82461504400,10296101,애니메이션,전체관람가,일반영화
2,3,2014,인터스텔라,크리스토퍼 놀란,워너브러더스 코리아(주),2014-11-06,미국,1342,80654690300,10103568,SF,12세이상관람가,일반영화
3,4,2014,해적: 바다로 간 산적,이석훈,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,한국,838,66240631706,8646758,어드벤처,12세이상관람가,일반영화
4,5,2014,수상한 그녀,황동혁,(주)씨제이이엔엠,2014-01-22,한국,692,62696639249,8656397,드라마,15세이상관람가,일반영화
5,6,2014,트랜스포머: 사라진 시대,마이클 베이,(주)씨제이이엔엠,2014-06-25,미국,1602,44012272845,5295801,액션,12세이상관람가,일반영화
6,7,2014,국제시장,윤제균,(주)씨제이이엔엠,2014-12-17,한국,966,41004121596,5334561,드라마,12세이상관람가,일반영화
7,8,2014,엣지 오브 투모로우,더그 라이만,워너브러더스 코리아(주),2014-06-04,미국,801,38703942201,4697142,액션,12세이상관람가,일반영화
8,9,2014,군도: 민란의 시대,윤종빈,(주)쇼박스,2014-07-23,한국,1394,36987755999,4774895,사극,15세이상관람가,일반영화
9,10,2014,어메이징 스파이더맨 2,마크 웹,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-23,미국,1312,34869056800,4168350,액션,12세이상관람가,일반영화
10,11,2014,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,이십세기폭스코리아(주),2014-05-22,미국,1056,34654558766,4313871,액션,12세이상관람가,일반영화
11,12,2014,타짜-신의 손,강형철,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",2014-09-03,한국,890,32267244827,4001813,드라마,청소년관람불가,일반영화
12,13,2014,캡틴 아메리카: 윈터 솔져,"조 루소,안소니 루소",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-03-26,미국,1106,31710585385,3963220,액션,15세이상관람가,일반영화
13,14,2014,혹성탈출: 반격의 서막,맷 리브스,이십세기폭스코리아(주),2014-07-10,미국,922,31509793095,4002134,액션,12세이상관람가,일반영화
14,15,2014,역린,이재규,롯데쇼핑㈜롯데엔터테인먼트,2014-04-30,한국,1054,29893297890,3849433,사극,15세이상관람가,일반영화
15,16,2014,"님아, 그 강을 건너지 마오",진모영,"CGV아트하우스,(주)대명문화공장",2014-11-27,한국,206,29845004479,3846206,다큐멘터리,전체관람가,독립/예술영화
16,17,2014,신의 한 수,조범구,(주)쇼박스,2014-07-03,한국,794,28777712256,3562123,범죄,청소년관람불가,일반영화
17,18,2014,비긴 어게인,존 카니,판씨네마(주),2014-08-13,미국,213,27091263504,3426679,멜로/로맨스,15세이상관람가,독립/예술영화
18,19,2014,끝까지 간다,김성훈,(주)쇼박스,2014-05-29,한국,645,27006007900,3450143,액션,15세이상관람가,일반영화
19,20,2014,드래곤 길들이기 2,딘 데블로이스,(주)씨제이이엔엠,2014-07-23,미국,829,23979935189,3000056,애니메이션,전체관람가,일반영화
20,21,2014,표적,창,(주)씨제이이엔엠,2014-04-30,한국,665,22256359300,2841788,액션,15세이상관람가,일반영화
21,22,2014,메이즈 러너,웨스 볼,이십세기폭스코리아(주),2014-09-18,미국,648,21489367677,2812427,액션,12세이상관람가,일반영화
22,23,2014,호빗: 다섯 군대 전투,피터 잭슨,워너브러더스 코리아(주),2014-12-17,미국,926,21428483344,2509887,어드벤처,12세이상관람가,일반영화
23,24,2014,나의 사랑 나의 신부,임찬상,씨네그루(주)다우기술,2014-10-08,한국,629,16592056305,2135614,멜로/로맨스,15세이상관람가,일반영화
24,25,2014,루시,뤽 베송,유니버설픽쳐스인터내셔널 코리아(유),2014-09-03,미국,641,16439450039,1971837,액션,청소년관람불가,일반영화
25,26,2014,인투 더 스톰,스티븐 쿼일,워너브러더스 코리아(주),2014-08-28,미국,585,16155930332,2078492,액션,12세이상관람가,일반영화
26,27,2014,논스톱,자움 콜렛 세라,(주)넥스트엔터테인먼트월드(NEW),2014-02-27,미국,582,16066174940,2084457,액션,15세이상관람가,일반영화
27,28,2014,노아,대런 아로노프스키,(주)씨제이이엔엠,2014-03-20,미국,952,15514083500,2026574,어드벤처,15세이상관람가,일반영화
28,29,2014,남자가 사랑할 때,한동욱,(주)넥스트엔터테인먼트월드(NEW),2014-01-22,한국,531,14510222300,1979311,멜로/로맨스,15세이상관람가,일반영화
29,30,2014,나를 찾아줘,데이빗 핀처,이십세기폭스코리아(주),2014-10-23,미국,658,14017716731,1764233,스릴러,청소년관람불가,일반영화
30,31,2014,기술자들,김홍선,롯데쇼핑㈜롯데엔터테인먼트,2014-12-24,한국,641,13652480148,1778083,범죄,15세이상관람가,일반영화
31,32,2014,300: 제국의 부활,노암 머로,워너브러더스 코리아(주),2014-03-06,미국,720,13395159700,1593116,액션,청소년관람불가,일반영화
32,33,2014,제보자,임순례,메가박스중앙(주)플러스엠,2014-10-02,한국,676,13371522302,1735640,드라마,12세이상관람가,일반영화
