순번,개봉연도,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
1,2017,택시운전사,장훈,더램프(주),,(주)쇼박스,2017-08-02,한국,1906,95282655549,12099614,드라마,15세이상관람가,일반영화
2,2017,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,한국,1912,68350496432,8539495,판타지,12세이상관람가,일반영화
3,2017,공조,김성훈,"(주)제이케이필름,(주)씨제이이엔엠,영화사 이창,(주)에이치비엔터테인먼트",,(주)씨제이이엔엠,2017-01-18,한국,976,63781731326,7817446,액션,15세이상관람가,일반영화
4,2017,스파이더맨: 홈 커밍,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,미국,1965,59120173820,7257973,액션,12세이상관람가,일반영화
5,2017,범죄도시,강윤성,"(주)홍필름,(주)비에이엔터테인먼트",,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",2017-10-03,한국,1315,56077813249,6851297,범죄,청소년관람불가,일반영화
6,2017,군함도,류승완,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,2017-07-26,한국,2027,50510565168,6592151,액션,15세이상관람가,일반영화
7,2017,청년경찰,김주환,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09,한국,1102,44241099316,5636259,액션,15세이상관람가,일반영화
8,2017,더 킹,한재림,(주)매그넘나인,,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,한국,1310,43486078535,5316325,범죄,15세이상관람가,일반영화
9,2017,미녀와 야수,빌 콘돈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16,미국,1627,42130589579,5137993,멜로/로맨스,전체관람가,일반영화
10,2017,킹스맨: 골든 서클,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-09-27,미국,1687,40987484736,4945484,액션,청소년관람불가,일반영화
11,2017,토르: 라그나로크,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-10-25,미국,1640,39227691395,4853778,액션,12세이상관람가,일반영화
12,2017,꾼,장창원,(주)영화사두둥,,(주)쇼박스,2017-11-22,한국,1314,31312029795,4018035,범죄,15세이상관람가,일반영화
