,순번,영화명,평론가명,평점,한줄평
0,1,베테랑,김성훈,4.5,마침내 완성된 류승완표 <폴리스 스토리>
1,1,베테랑,김현수,4.0,현실에 맞서는 태도의 완성
2,1,베테랑,김혜리,4.0,의협심과 그루브. 감독의 성정과 특기가 투명하게 드러난 소나기 같은 영화
3,1,베테랑,박평식,3.0,아웃복서의 게임처럼
4,1,베테랑,이동진,3.5,심플하고 힘 있게 치고 달리는 영화가 선사하는 통쾌함
5,1,베테랑,이용철,3.0,"통쾌하다. 단, 극장 나오기 전까지만"
6,1,베테랑,이주현,4.0,"제대로 류승완다운 액션•오락영화, 그 완성형"
7,1,베테랑,황진미,3.5,<짝패>의 길거리 액션과 <부당거래>의 비판의식이 만나다
8,2,암살,김현수,3.5,원스 어폰 어 타임 인 경성
9,2,암살,박평식,2.5,"자충수가 된 무리수, 곁눈질"
10,2,암살,이동진,3.0,다 맛보아도 포만감은 들지 않는 잔칫상
11,2,암살,이용철,2.0,사기꾼들과 노닐다 웬 애국자 플레이? 그게 이 시대의 코미디
12,2,암살,이주현,3.5,장총 든 전지현으로 기억될 1930년대의 한 풍경
13,2,암살,황진미,3.5,어느 시공간에 갖다놔도 장르의 재미는 계속된다
14,2,암살,이예지,3.5,여성캐릭터도 블록버스터의 주인공이 될 수 있다는 걸 입증한 것만으로도
15,2,암살,김혜리,3.5,"최동훈의 안단테, 하정우의 칸타빌레"
16,3,어벤져스: 에이지 오브 울트론,김혜리,3.5,"작가 조스 웨던의 장단점이 만개한, 확신에 찬 한수"
17,3,어벤져스: 에이지 오브 울트론,박평식,3.0,너저분한 페스티벌
18,3,어벤져스: 에이지 오브 울트론,송경원,4.0,상향 평준화된 슈퍼히어로 프랜차이즈의 어떤 완성형
19,3,어벤져스: 에이지 오브 울트론,윤혜지,3.5,영웅들의 마음 수련은 계속된다
20,3,어벤져스: 에이지 오브 울트론,이주현,4.0,복잡한 구조 속의 완벽한 균형감
21,3,어벤져스: 에이지 오브 울트론,황진미,3.0,중2병 걸린 개똥철학자와 잡탕찌개 두 그릇을 먹은 느낌
22,3,어벤져스: 에이지 오브 울트론,이용철,3.0,충실한 팬들을 향해 몸을 틀었다. 조금 이르다
23,3,어벤져스: 에이지 오브 울트론,이동진,3.5,끝없이 뻗어가는 마블 시네마틱 유니버스의 거대한 광맥
24,4,내부자들,박평식,2.5,클리셰의 지뢰밭
25,4,내부자들,이용철,3.0,현실을 닮아 영화가 점점 무서워진다
26,4,내부자들,황진미,4.0,내부자가 되어서야만 알 수 있는 대한민국 권력의 구조
27,4,내부자들,이주현,3.5,<베테랑>의 19금 버전 ‘정의는 어쨌든 살아 있다’
28,4,내부자들,윤혜지,3.0,말과 수가 아니었다면 이기지 못했을 판
29,4,내부자들,이예지,3.0,"기득권의 판, 속속들이 파헤친다"
30,4,내부자들,김현수,2.5,‘내’용이 ‘부’실하니 ‘자’랑할 건 배우‘들’뿐
31,4,내부자들,이동진,2.5,적나라하고 자극적인 효과 자체에 사로잡혀 있다
32,4,내부자들,김혜리,3.0,‘외부자들’에게는 가망 없는 곳에서 꾸는 백일몽
33,5,킹스맨: 시크릿 에이전트,박평식,3.5,폭력의 댄디즘이라니
34,5,킹스맨: 시크릿 에이전트,이용철,4.0,한심한 블록버스터들을 비웃어줄 짜릿한 녀석. 빛난다.
35,5,킹스맨: 시크릿 에이전트,장영엽,4.0,스냅백을 쓴 ’영’ 제임스 본드의 탄생
36,5,킹스맨: 시크릿 에이전트,이주현,4.0,<킥애스: 영웅의 탄생> <엑스맨: 퍼스트 클래스>를 뛰어넘는다
37,5,킹스맨: 시크릿 에이전트,송경원,4.0,우아한 난장판. 매너로 무장한 똘끼. 점잖게 미쳐 돌아간다.
38,5,킹스맨: 시크릿 에이전트,이동진,4.0,취향의 폭주 끝에서 마주치는 뻔뻔한 클라이맥스의 쾌감
39,5,킹스맨: 시크릿 에이전트,김혜리,2.5,새로움을 가장한 패션 뒤의 노골적 퇴행
40,6,사도,김혜리,3.0,"병든 아버지의 나라, 병든 아버지라는 나라"
41,6,사도,박평식,3.0,"성정보다 행위, 비통할 따름"
42,6,사도,이용철,4.0,안다고 생각했던 이야기를 전혀 다르게 느끼도록 만든다
43,6,사도,황진미,3.0,"부자갈등으로 사사화시키고, ‘봉합’에 의의를 두었구나"
44,6,사도,이화정,3.5,모던한 연출과 모던한 연기의 합일
45,6,사도,김성훈,4.0,비극으로만 그치지 않고 아버지와 아들의 진정한 화해를 시도하는
