,순번,개봉연도,영화명,감독,등급,국적,장르,전국매출액,전국관객수,전국스크린수,관람객평균평점,전문가평균,왓챠평균평점
0,1,2015,베테랑,류승완,15세이상관람가,한국,액션,"105,024,756,250","13,395,400","1,064",9.24,3.69,4.0
1,2,2015,암살,최동훈,15세이상관람가,한국,액션,"98,463,132,781","12,705,700","1,519",9.1,3.12,4.0
2,3,2015,어벤져스: 에이지 오브 울트론,조스 웨던,12세이상관람가,미국,액션,"88,582,586,366","10,494,499","1,843",8.59,3.44,3.8
3,4,2015,내부자들,우민호,청소년관람불가,한국,범죄,"56,464,117,657","7,055,074","1,075",9.06,3.0,4.0
4,5,2015,킹스맨 : 시크릿 에이전트,매튜 본,청소년관람불가,미국,액션,"50,333,635,795","6,125,154",706,9.02,3.71,4.1
5,6,2015,사도,이준익,12세이상관람가,한국,사극,"48,842,902,501","6,246,849","1,210",8.49,3.44,3.7
6,7,2015,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,15세이상관람가,미국,액션,"48,547,353,607","6,126,488","1,202",8.81,3.69,3.8
7,8,2015,쥬라기 월드,콜린 트레보로우,12세이상관람가,미국,액션,"47,800,698,826","5,546,792","1,290",8.26,3.0,3.6
8,9,2015,연평해전,김학순,12세이상관람가,한국,드라마,"45,560,620,330","6,043,458","1,013",9.14,2.38,3.5
9,10,2015,검은 사제들,장재현,15세이상관람가,한국,미스터리,"42,392,797,092","5,440,520","1,088",8.55,2.86,3.6
10,11,2015,마션,리들리 스콧,12세이상관람가,미국,액션,"39,612,764,295","4,875,494","1,132",8.72,3.92,3.9
11,12,2015,히말라야,이석훈,12세이상관람가,한국,드라마,"39,469,775,448","5,129,409","1,009",8.67,2.71,3.5
12,13,2015,인사이드 아웃,피트 닥터,전체관람가,미국,애니메이션,"38,015,586,936","4,968,687",777,9.05,3.83,4.1
13,14,2015,매드 맥스: 분노의 도로,조지 밀러,15세이상관람가,미국,액션,"32,906,364,462","3,842,441",799,8.86,4.44,4.2
14,15,2015,조선명탐정 : 사라진 놉의 딸,김석윤,12세이상관람가,한국,사극,"30,456,879,428","3,872,015",811,8.07,2.75,3.3
15,16,2015,인턴,낸시 마이어스,12세이상관람가,미국,코미디,"28,517,727,148","3,610,564",496,9.04,3.0,3.9
16,17,2015,터미네이터 제니시스,앨런 테일러,15세이상관람가,미국,액션,"26,546,725,129","3,239,371","1,113",8.12,2.86,3.4
17,18,2015,분노의 질주: 더 세븐,제임스 완,15세이상관람가,미국,액션,"26,449,334,694","3,247,558",983,9.21,3.5,3.9
18,19,2015,스타워즈: 깨어난 포스,J.J. 에이브럼스,12세이상관람가,미국,액션,"24,149,478,540","2,803,234",940,8.21,3.64,3.6
19,20,2015,스물,이병헌,15세이상관람가,한국,코미디,"23,558,988,686","3,044,134",926,8.6,2.25,3.3
20,21,2015,앤트맨,페이튼 리드,12세이상관람가,미국,액션,"23,502,249,937","2,839,921",949,8.71,3.38,3.9
21,22,2015,극비수사,곽경택,15세이상관람가,한국,드라마,"22,389,535,897","2,860,786",894,8.35,3.44,3.5
22,23,2015,빅 히어로,"돈 홀,크리스 윌리암스",전체관람가,미국,애니메이션,"21,993,119,765","2,801,949",825,9.29,3.4,3.9
23,24,2015,메이즈 러너: 스코치 트라이얼,웨스 볼,12세이상관람가,미국,액션,"21,596,946,349","2,744,413",804,8.36,3.0,3.5
24,25,2015,탐정 : 더 비기닝,김정훈,15세이상관람가,한국,코미디,"20,463,956,973","2,625,686",764,8.62,3.0,3.5
25,26,2015,미니언즈,"피에르 꼬팽,카일 발다",전체관람가,미국,애니메이션,"18,997,911,278","2,625,572",792,8.25,2.5,3.5
26,27,2015,스파이,폴 페이그,15세이상관람가,미국,액션,"18,396,836,358","2,315,882",665,8.82,3.5,3.9
27,28,2015,강남 1970,유하,청소년관람불가,한국,액션,"17,717,971,499","2,192,172",841,7.76,2.71,3.0
28,29,2015,악의 연대기,백운학,15세이상관람가,한국,스릴러,"17,360,123,332","2,192,243",776,8.22,2.7,3.3
29,30,2015,뷰티 인사이드,백,12세이상관람가,한국,판타지,"16,145,401,531","2,053,085",648,8.26,2.42,3.9
30,31,2016,부산행,연상호,15세이상관람가,한국,액션,"93,175,877,048","11,565,078","1,788",8.6,3.55,3.8
31,32,2016,검사외전,이일형,15세이상관람가,한국,범죄,"77,252,755,264","9,699,092","1,812",8.56,2.79,3.7
32,33,2016,캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",12세이상관람가,미국,액션,"72,672,111,827","8,677,249","1,991",8.82,3.73,3.9
33,34,2016,밀정,김지운,15세이상관람가,한국,액션,"61,158,644,831","7,487,545","1,444",8.57,3.72,3.7
