순번,순서,영화이름,관람객평점,댓글
38,1,인천상륙작전,5.0,"전문가들이 저따위로 평가를 해놓다니... 전문가로서 부끄럽지도 않나?  고작 한줄로, 전문적이지도 않고 초등학생들이 쓸만한 글로 전문가 행세를 하다니 참.. 부끄러운줄이나 아세요.. 맥아더를 내세우는 영화라기 보단 ..."
38,2,인천상륙작전,5.0,그래도 이러한 역사가있었다는 것을 돌아보게 해주어서 뭉클햇음
38,3,인천상륙작전,5.0,인천 상륙 작전하면 맥아더장군이 먼저 또올랐다9.28 수복으로 시청에 내걸리던 태극기와 시민들 모습.하지만 이름없이 죽어간 이들이 없었다면 가능했을까?전쟁 영화 별로 안 좋아하는 내게 감동을 선사한 영화다
38,4,인천상륙작전,5.0,일찍부터 보고 나오는길~ 진짜 꼭 한 번 봐야하는 영화인듯하다
38,5,인천상륙작전,4.0,평점믿지마요 방금보고왔는데 평점이 죄다 알바라는이유를알겠음
38,6,인천상륙작전,5.0,오랜만에 진짜 재밌게봤다 이런 영호ㅓ가 좀 더 많이 나왔음 좋겠음
38,7,인천상륙작전,5.0,북괴 짱깨 러시아 독재 꺼져라ㅡㅡ
38,8,인천상륙작전,5.0,엄청난 감동과 긴장감 넘치는 첩보작전
38,9,인천상륙작전,5.0,너무 보고 싶어서 조조로 봤음 배우들 연기가 ㄷㄷ 의미있는 영화다 진짜
38,10,인천상륙작전,5.0,병원 납치장면은 정말 손에 땀이 날 정도로 긴장 돋음! 최고!!이정재 존 멋~~~
38,11,인천상륙작전,5.0,예매할때 평점3점대여서 기대안해서 그런지 더재밌었다. 전쟁을다루긴했지만 첩보영화에가까워서 스릴있다. 잔인한전투장면이나 북한군의 잔혹한모습이 아닌 호국선열들의 모습으로 보는내내가슴으로울게만드는영화이다.맥아더장군이마지막...
38,12,인천상륙작전,5.0,영화는 보고 말해라 진짜 존잼이구만
38,13,인천상륙작전,5.0,나라를 위해 목숨을 바친 숨겨진 영웅들에게 바치는 영화!
38,14,인천상륙작전,4.0,볼만한 영화네요 걱정과다르게 재미있었어요
38,15,인천상륙작전,4.0,두번 다시 없어야 될일 국력키워 부국강병하구 애국심 고취
38,16,인천상륙작전,4.0,"비행기로 대좌를 묶어서 데려간거에서 어이없었고;; 나머지 부분은 괜찮았음. 정전일에 맞춰 개봉한 거도 노린건지 몰라도 의미도 컸음. 이정재, 이범수, 리암니슨 연기 좋았음!"
38,17,인천상륙작전,5.0,영화 재미있게 잘 봤어요ㅎ
38,18,인천상륙작전,5.0,우리나라의 역사를 다시 되새기면서 봐서 재미있엇습니다
38,19,인천상륙작전,5.0,작은 성공 확률에도 승리로 이끌기 위한 호국전사들의 활약에 박수를 보내고 싶습니다. 특히나 오늘이 6.25 정전 휴전협정을 맺은 날인 만큼 뜻깊은 관람이었습니다.
38,20,인천상륙작전,5.0,이러한 군인들이 지켜 줬기에 현제 우리가 행복할수 있구나..
38,21,인천상륙작전,5.0,지금 우리가 누릴수 있는 자유는 그냥 얻어진 것이 이니라  대한민국을 위해서 희생하신분들에 의해서 이루어진것이라고 다시 한번 느낍니다.
38,22,인천상륙작전,5.0,긴장감 넘치고 지루함 못느꼈어요재밌어여ㅎㅎ이정재 리암니슨 넘나 멋짐
38,23,인천상륙작전,4.5,언론평이였나 읽고서 별기대안했는데 진짜 엄청난영화bb
38,24,인천상륙작전,5.0,이건 천만영화다 알바에 속지마라
38,25,인천상륙작전,4.5,추성훈나와서 놀람 ㅋㅋ
38,26,인천상륙작전,5.0,하. . 역시. . 와이프랑 딸래미 때운에 눈물훔치느라 죽는지 알았네. . ㅜㅜ 마지막 조명탄 터질때 눈물샘터짐. . 간만에 돈안아까운 영화군요. . 추천합니다!
38,27,인천상륙작전,5.0,기대하다가 개봉하자마자 봤는데 역시 최고!!! 또 보고 싶어요~~!!!
38,28,인천상륙작전,4.5,평점보고 실망하고 들어갔는데 생각보다 너무 재밌어서 넘만족^^
38,29,인천상륙작전,5.0,뭔가 뭉클한 감동과  안타까움~유일한 분단국가  한반도의 슬픈 역사와 목숨을 걸고 희생하신 분들에 대한 고마움과 또 북한이 아닌 대한민국에 태어나 누리는 자유와여유..기타  여러가지등에 새삼 감사해야 한다는 것~.....
38,30,인천상륙작전,5.0,이정재는 둘째치고 리암 아저씨 존재감 대박.. 왤케 멋있음..?!? 엄빠 모시고 한 번 더 볼만한 영화네요!
38,31,인천상륙작전,5.0,"재미있네요, 감동도 있구^^"
38,32,인천상륙작전,4.0,역사에 관심 있다면 볼 만 항 영화.
38,33,인천상륙작전,4.0,끝이 너무짧아 아쉽게느껴졌네요. 이영화를보며 다시한번 나라를지켜주신 모든 ... 이름모를 선대분들의 감사함을 느끼고 갑니다.
38,34,인천상륙작전,5.0,간만에 울컥했습니다 강력추천
38,35,인천상륙작전,5.0,배우들 연기가 정말 대박입니다!! 리암 니슨도 대박
38,36,인천상륙작전,5.0,기대했던거보다 더 괜찮고 재밌게봄
38,37,인천상륙작전,5.0,재밌습니다 재미없다는사람은 어떻게 본지 모르겠지만 재밌게 봤어요
38,38,인천상륙작전,5.0,"이게 망작이라고요??  웰메이드 영화던데요. 스토리, 전개, 배우들의 연기 등 별로 흠잡을게 없었습니다. 영화를 영화로 보지 않고 정치적 유불리를 따져가며 영화를 보는 정치충들은 평론도 하지말고 평점도 매기지 말아주..."
38,39,인천상륙작전,4.0,진짜 재밌게봤어요 한번더 집중해서 볼거에요
38,40,인천상륙작전,5.0,6 25전쟁의 전환점을 보여준 인천상륙작전에 대해 다시 상고할수있었습니다
38,41,인천상륙작전,5.0,감동적이네요     재미나게  봤습니다
38,42,인천상륙작전,5.0,정말 감명 깊은 영화 입니다
