순번,영화,전문가평점평균
1,베테랑,3.69
2,암살,3.12
3,어벤져스: 에이지 오브 울트론,3.44
4,내부자들,3.0
5,킹스맨: 시크릿 에이전트,3.71
6,사도,3.44
7,미션 임파서블: 로그네이션,3.69
8,쥬라기 월드,3.0
9,연평해전,2.38
10,검은 사제들,2.86
11,마션,3.92
12,히말라야,2.71
13,인사이드 아웃,3.83
14,매드맥스: 분노의 도로,4.44
15,조선명탐정 : 사라진 놉의 딸,2.75
16,인턴,3.0
17,터미네이터 제니시스,2.86
18,분노의 질주: 더 세븐,3.5
19,스타워즈: 깨어난 포스,3.64
20,스물,2.25
21,앤트맨,3.38
22,극비수사,3.44
23,빅 히어로,3.4
24,메이즈 러너: 스코치 트라이얼,3.0
25,탐정 : 더 비기닝 ,3.0
26,미니언즈,2.5
27,스파이,3.5
28,강남 1970,2.71
29,악의 연대기,2.7
30,뷰티 인사이드,2.42
31,부산행,3.55
32,검사외전,2.79
33,캡틴 아메리카: 시빌 워,3.73
34,밀정,3.72
35,터널,3.44
36,럭키,2.5
37,곡성(哭聲),4.07
38,인천상륙작전,1.5
39,닥터 스트레인지,3.42
40,덕혜옹주,2.86
41,마스터,2.85
42,신비한 동물사전,3.33
43,주토피아,3.62
44,아가씨,3.73
45,판도라,2.81
46,쿵푸팬더3,2.75
47,데드풀,3.17
48,귀향,3.0
49,나우 유 씨 미 2,2.25
50,엑스맨: 아포칼립스,3.71
51,형,2.0
52,미스 페레그린과 이상한 아이들의 집,3.5
53,정글북,3.44
54,제이슨 본,2.71
55,도리를 찾아서,3.08
56,아수라,3.1
57,라라랜드,4.0
58,마이펫의 이중생활,4.0
59,배트맨 대 슈퍼맨: 저스티스의 시작,2.85
60,굿바이 싱글,2.92
61,택시운전사,2.92
62,신과 함께-죄와 벌,2.88
63,공조,2.31
64,스파이더맨: 홈커밍,3.5
65,범죄도시,3.0
66,군함도,3.11
67,청년경찰,2.43
68,더 킹,3.33
69,미녀와 야수,3.5
70,킹스맨: 골든 서클,2.42
71,토르: 라그나로크,3.0
72,강철비,3.69
73,꾼,2.17
74,남한산성,3.7
75,미이라,2.8
76,분노의 질주: 더 익스트림,2.88
77,너의 이름은.,3.58
78,아이 캔 스피크,3.62
79,캐리비안의 해적: 죽은 자는 말이 없다,2.5
80,덩케르크,4.25
81,슈퍼배드 3,2.5
82,프리즌,3.0
83,가디언즈 오브 갤럭시 VOL. 2,2.92
84,트랜스포머: 최후의 기사,1.38
85,살인자의 기억법,2.8
86,보안관,2.93
87,조작된 도시,2.5
88,재심,3.0
89,보스 베이비,2.62
90,박열,3.36
91,신과 함께-인과 연,3.12
92,어벤져스: 인피니티 워,3.5
93,보헤미안 랩소디,3.08
94,미션 임파서블: 폴아웃,3.71
95,쥬라기 월드: 폴른 킹덤,3.25
96,앤트맨과 와스프,3.17
97,안시성,3.14
98,블랙 팬서,3.38
99,완벽한 타인,3.2
100,독전,2.6
101,공작,3.5
102,데드풀 2,2.88
103,베놈,2.25
104,암수살인,4.12
105,국가부도의 날,3.29
106,아쿠아맨,3.67
107,코코,4.0
108,그것만이 내 세상,2.5
109,마녀,2.83
110,탐정: 리턴즈,2.5
111,서치,3.67
112,인크레더블 2,3.6
113,너의 결혼식,3.25
114,목격자,2.58
115,곤지암,3.25
116,신비한 동물들과 그린델왈드의 범죄,2.58
117,지금 만나러 갑니다,2.5
118,레디 플레이어 원,4.21
119,조선명탐정: 흡혈괴마의 비밀,2.5
120,맘마미아!2,3.0
121,극한직업,3.2
122,어벤져스: 엔드게임,3.58
123,겨울왕국 2,3.12
124,알라딘,2.9
125,기생충,4.55
126,엑시트,3.58
127,스파이더맨: 파 프롬 홈,3.25
128,백두산,2.88
129,캡틴 마블,3.5
130,조커,3.64
131,라이온 킹,2.88
132,봉오동 전투,2.58
133,나쁜 녀석들: 더 무비,2.38
134,분노의 질주: 홉스&쇼,3.0
135,82년생 김지영,3.28
136,악인전,2.83
137,돈,2.6
138,토이 스토리 4,3.92
139,가장 보통의 연애,3.5
140,말모이,2.75
141,시동,3.0
142,블랙머니,3.0
143,증인,3.0
144,터미네이터: 다크 페이트,3.2
145,사바하,3.4
146,타짜: 원 아이드 잭,2.67
147,알리타: 배틀 엔젤,3.5
148,신의 한 수: 귀수편,2.5
149,내안의 그놈,2.0
150,변신,2.17
