순번,개봉연도,네이버ID,씨네21ID,왓챠ID,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국 관객수,서울매출액,서울관객수,장르,등급,영화구분
1,2015,115977,41344,mObGGj7,베테랑,류승완,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,2015.8.5,개봉영화,장편,한국,"1,064","105,024,756,250","13,395,400","26,766,369,950","3,290,366",액션,15세이상관람가,일반영화
2,2015,121048,41610,mWyJpxy,암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015.7.22,개봉영화,장편,한국,"1,519","98,463,132,781","12,705,700","25,306,651,181","3,155,960",액션,15세이상관람가,일반영화
3,2015,98438,41335,m5xYKqW,어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",2015.4.23,개봉영화,장편,미국,"1,843","88,582,586,366","10,494,499","25,001,906,266","2,823,388",액션,12세이상관람가,일반영화
4,2015,121788,42321,mW4La3e,내부자들,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015.11.19,개봉영화,장편,한국,"1,075","56,464,117,657","7,055,074","16,275,240,857","1,965,368",범죄,청소년관람불가,일반영화
5,2015,114249,42341,mO0gZ8X,킹스맨 : 시크릿 에이전트,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015.2.11,개봉영화,장편,미국,706,"50,333,635,795","6,125,154","16,707,645,195","1,968,882",액션,청소년관람불가,일반영화
6,2015,121922,41903,mO0g2Yx,사도,이준익,(주)타이거픽쳐스,,(주)쇼박스,2015.9.16,개봉영화,장편,한국,"1,210","48,842,902,501","6,246,849","12,987,928,301","1,606,486",사극,12세이상관람가,일반영화
7,2015,95541,43984,mOoJKyW,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015.7.30,개봉영화,장편,미국,"1,202","48,547,353,607","6,126,488","13,751,315,607","1,669,524",액션,15세이상관람가,일반영화
8,2015,67786,43287,mdM3emW,쥬라기 월드,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015.6.11,개봉영화,장편,미국,"1,290","47,800,698,826","5,546,792","13,625,824,326","1,502,391",액션,12세이상관람가,일반영화
9,2015,102272,42293,m5nAkVd,연평해전,김학순,(주)로제타시네마,,(주)넥스트엔터테인먼트월드(NEW),2015.6.24,개봉영화,장편,한국,"1,013","45,560,620,330","6,043,458","9,906,059,630","1,265,879",드라마,12세이상관람가,일반영화
10,2015,120157,44062,mOVvgo8,검은 사제들,장재현,영화사 집,,(주)씨제이이엔엠,2015.11.5,개봉영화,장편,한국,"1,088","42,392,797,092","5,440,520","11,617,009,792","1,428,316",미스터리,15세이상관람가,일반영화
11,2015,129049,44965,mWwBVzq,마션,리들리 스콧,,이십세기폭스코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2015.10.8,개봉영화,장편,미국,"1,132","39,612,764,295","4,875,494","12,914,889,095","1,509,471",액션,12세이상관람가,일반영화
12,2015,100647,38951,m5aNrDW,히말라야,이석훈,(주)제이케이필름,,(주)씨제이이엔엠,2015.12.16,개봉영화,장편,한국,"1,009","39,469,775,448","5,129,409","9,308,851,168","1,169,945",드라마,12세이상관람가,일반영화
13,2015,115622,43423,mdEwAR2,인사이드 아웃,피트 닥터,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015.7.9,개봉영화,장편,미국,777,"38,015,586,936","4,968,687","12,814,825,236","1,594,626",애니메이션,전체관람가,일반영화
14,2015,77768,50215,mWzVYBW,매드 맥스: 분노의 도로,조지 밀러,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015.5.14,개봉영화,장편,미국,799,"32,906,364,462","3,842,441","11,443,176,062","1,271,954",액션,15세이상관람가,일반영화
15,2015,123596,41950,m5GXPvn,조선명탐정 : 사라진 놉의 딸,김석윤,청년필름(주),,(주)쇼박스,2015.2.11,개봉영화,장편,한국,811,"30,456,879,428","3,872,015","6,908,501,928","845,522",사극,12세이상관람가,일반영화
16,2015,118917,45175,m5NVEE2,인턴,낸시 마이어스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015.9.24,개봉영화,장편,미국,496,"28,517,727,148","3,610,564","10,023,591,548","1,228,195",코미디,12세이상관람가,일반영화
17,2015,69956,42571,m5QPBDd,터미네이터 제니시스,앨런 테일러,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015.7.2,개봉영화,장편,미국,"1,113","26,546,725,129","3,239,371","7,364,611,329","852,065",액션,15세이상관람가,일반영화
18,2015,109905,43097,mWyJx21,분노의 질주: 더 세븐,제임스 완,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015.4.1,개봉영화,장편,미국,983,"26,449,334,694","3,247,558","7,328,474,894","864,171",액션,15세이상관람가,일반영화
19,2015,100072,44412,m5eM7y5,스타워즈: 깨어난 포스,J.J. 에이브럼스,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015.12.17,개봉영화,장편,미국,940,"24,149,478,540","2,803,234","8,142,582,481","888,167",액션,12세이상관람가,일반영화
20,2015,123277,41502,mdMgLx2,스물,이병헌,"(주)영화나무,(주)아이에이치큐",,(주)넥스트엔터테인먼트월드(NEW),2015.3.25,개봉영화,장편,한국,926,"23,558,988,686","3,044,134","5,990,587,486","740,243",코미디,15세이상관람가,일반영화
21,2015,92064,43497,mOANbld,앤트맨,페이튼 리드,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015.9.3,개봉영화,장편,미국,949,"23,502,249,937","2,839,921","7,332,839,937","840,337",액션,12세이상관람가,일반영화
22,2015,122120,41594,mWvkD0D,극비수사,곽경택,"(주)제이콘컴퍼니,(주)영화사 신세계",,(주)쇼박스,2015.6.18,개봉영화,장편,한국,894,"22,389,535,897","2,860,786","5,828,885,297","717,981",드라마,15세이상관람가,일반영화
23,2015,109911,42316,mW4La4l,빅 히어로,"돈 홀,크리스 윌리암스",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015.1.21,개봉영화,장편,미국,825,"21,993,119,765","2,801,949","6,512,949,165","772,249",애니메이션,전체관람가,일반영화
24,2015,129408,44635,mOPoAqa,메이즈 러너: 스코치 트라이얼,웨스 볼,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015.9.16,개봉영화,장편,미국,804,"21,596,946,349","2,744,413","5,743,724,849","697,898",액션,12세이상관람가,일반영화
25,2015,124201,45198,m533Z8p,탐정 : 더 비기닝,김정훈,(주)크리픽쳐스,,(주)씨제이이엔엠,2015.9.24,개봉영화,장편,한국,764,"20,463,956,973","2,625,686","4,092,941,173","504,961",코미디,15세이상관람가,일반영화
26,2015,113351,43321,m5NVlD7,미니언즈,"피에르 꼬팽,카일 발다",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015.7.29,개봉영화,장편,미국,792,"18,997,911,278","2,625,572","4,787,634,178","630,536",애니메이션,전체관람가,일반영화
27,2015,118950,44101,m5rQoaV,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015.5.21,개봉영화,장편,미국,665,"18,396,836,358","2,315,882","5,393,002,858","648,385",액션,15세이상관람가,일반영화
28,2015,103760,41593,m5NVVwR,강남 1970,유하,"(주)모베라픽처스,(주)쇼박스",,(주)쇼박스,2015.1.21,개봉영화,장편,한국,841,"17,717,971,499","2,192,172","4,859,661,899","586,992",액션,청소년관람불가,일반영화
29,2015,122535,42243,mWyJ1v6,악의 연대기,백운학,(주)비에이엔터테인먼트,,(주)씨제이이엔엠,2015.5.14,개봉영화,장편,한국,776,"17,360,123,332","2,192,243","4,131,865,932","498,114",스릴러,15세이상관람가,일반영화
30,2015,129050,43086,mWqJnGr,뷰티 인사이드,백,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),2015.8.20,개봉영화,장편,한국,648,"16,145,401,531","2,053,085","5,024,222,431","611,117",판타지,12세이상관람가,일반영화
