,순번,영화,관람객평점
0,1,베테랑,9.24
1,2,암살,9.10
2,3,어벤져스: 에이지 오브 울트론,8.59
3,4,내부자들,9.06
4,5,킹스맨 : 시크릿 에이전트,9.02
5,6,사도,8.49
6,7,미션 임파서블: 로그네이션,8.81
7,8,쥬라기 월드,8.26
8,9,연평해전,9.14
9,10,검은 사제들,8.55
10,11,마션,8.72
11,12,히말라야,8.67
12,13,인사이드 아웃,9.05
13,14,매드맥스: 분노의 도로,8.86
14,15,조선명탐정 : 사라진 놉의 딸,8.07
15,16,인턴,9.04
16,17,터미네이터 제니시스,8.12
17,18,분노의 질주: 더 세븐,9.21
18,19,스타워즈: 깨어난 포스,8.21
19,20,스물,8.60
20,21,앤트맨,8.71
21,22,극비수사,8.35
22,23,빅 히어로,9.29
23,24,메이즈 러너: 스코치 트라이얼,8.36
24,25,탐정 : 더 비기닝,8.62
25,26,미니언즈,8.25
26,27,스파이,8.82
27,28,강남 1970,7.76
28,29,악의 연대기,8.22
29,30,뷰티 인사이드,8.26
30,31,부산행,8.60
31,32,검사외전,8.56
32,33,캡틴 아메리카: 시빌 워,8.82
33,34,밀정,8.57
34,35,터널,8.63
35,36,럭키,8.76
36,37,곡성(哭聲),8.22
37,38,인천상륙작전,8.55
38,39,닥터 스트레인지,8.88
39,40,덕혜옹주,8.72
40,41,마스터,8.65
41,42,신비한 동물사전,8.69
42,43,주토피아,9.33
43,44,아가씨,7.69
44,45,판도라,8.78
45,46,쿵푸팬더3,8.78
46,47,데드풀,8.53
47,48,귀향,9.33
48,49,나우 유 씨 미 2,8.53
49,50,엑스맨: 아포칼립스,8.24
50,51,형,8.92
51,52,미스 페레그린과 이상한 아이들의 집,8.58
52,53,정글북,8.57
53,54,제이슨 본,8.31
54,55,도리를 찾아서,8.61
55,56,아수라,6.54
56,57,라라랜드,8.91
57,58,마이펫의 이중생활,8.67
58,59,배트맨 대 슈퍼맨: 저스티스의 시작,7.16
59,60,굿바이 싱글,8.42
60,61,택시운전사,9.28
61,62,신과함께-죄와 벌,8.73
62,63,공조,8.83
63,64,스파이더맨: 홈커밍,8.83
64,65,범죄도시,9.28
65,66,군함도,7.35
66,67,청년경찰,9.03
67,68,더 킹,8.39
68,69,미녀와 야수,8.99
69,70,킹스맨: 골든 서클,8.60
70,71,토르: 라그나로크,9.03
71,72,강철비,8.73
72,73,꾼,8.32
73,74,남한산성,8.17
74,75,미이라,7.49
75,76,분노의 질주: 더 익스트림,9.18
76,77,너의 이름은.,9.02
77,78,아이 캔 스피크,9.23
78,79,캐리비안의 해적: 죽은 자는 말이 없다,8.58
79,80,덩케르크,8.61
80,81,슈퍼배드 3,8.76
81,82,프리즌,8.25
82,83,가디언즈 오브 갤럭시 VOL. 2,9.05
83,84,트랜스포머: 최후의 기사,6.90
84,85,살인자의 기억법,8.17
85,86,보안관,8.26
86,87,조작된 도시,8.56
87,88,재심,8.70
88,89,보스 베이비,8.84
89,90,박열,8.48
90,91,신과함께-인과 연,8.63
91,92,어벤져스: 인피니티 워,9.08
92,93,보헤미안 랩소디,9.45
93,94,미션 임파서블: 폴아웃,9.15
94,95,쥬라기 월드: 폴른 킹덤,8.55
95,96,앤트맨과 와스프,8.85
96,97,안시성,8.63
97,98,블랙 팬서,8.33
98,99,완벽한 타인,9.08
99,100,독전,8.41
100,101,공작,7.86
101,102,데드풀 2,9.09
102,103,베놈,8.25
103,104,암수살인,8.58
104,105,국가부도의 날,8.71
105,106,아쿠아맨,8.77
106,107,코코,9.20
107,108,그것만이 내 세상,9.17
108,109,마녀,8.58
109,110,탐정: 리턴즈,8.99
110,111,서치,8.96
111,112,인크레더블 2,9.32
112,113,너의 결혼식,9.00
113,114,목격자,7.56
114,115,곤지암,7.51
115,116,신비한 동물들과 그린델왈드의 범죄,7.45
116,117,지금 만나러 갑니다,8.98
117,118,레디 플레이어 원,8.73
118,119,조선명탐정: 흡혈괴마의 비밀,7.51
119,120,맘마미아!2,9.08
120,121,극한직업,9.20
121,122,어벤져스: 엔드게임,9.49
122,123,겨울왕국 2,8.95
123,124,알라딘,9.42
124,125,기생충,9.07
125,126,엑시트,8.99
126,127,스파이더맨: 파 프롬 홈,8.99
127,128,백두산,7.47
128,129,캡틴 마블,8.45
129,130,조커,8.97
130,131,라이온 킹,8.65
131,132,봉오동 전투,9.07
132,133,나쁜 녀석들: 더 무비,8.17
133,134,분노의 질주: 홉스&쇼,8.83
134,135,82년생 김지영,9.13
135,136,악인전,8.55
136,137,돈,8.39
137,138,토이 스토리 4,9.23
138,139,가장 보통의 연애,8.54
139,140,말모이,9.19
140,141,시동,8.69
141,142,블랙머니,8.75
142,143,증인,9.16
143,144,터미네이터: 다크 페이트,8.56
144,145,사바하,7.42
145,146,타짜: 원 아이드 잭,6.80
146,147,알리타: 배틀 엔젤,8.82
147,148,신의 한 수: 귀수편,8.69
148,149,내안의 그놈,8.76
149,150,변신,7.89
